Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
110,3,3,You Smell Soap,Yes,Fashion / Beauty,Female,"$50,000",50%,"$100,000",,,,1,,,,,1,"$50,000",deal terms changed after dilligence (http://sharktanksuccess.blogspot.com/2013/07/you-smell-soap-update.html)
111,3,3,Chord Buddy,Yes,Media / Entertainment,Male,"$175,000",20%,"$875,000",,,,1,,,,,1,"$175,000",
112,3,3,Liquid Money,No,Consumer Products,Male,,,,,,,,,,,,0,,
113,3,3,Tail Lightz,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
114,3,4,Wine Balloon,Yes,Food and Beverage,Male,"$400,000",100%,"$400,000",,1,,,,,,,1,"$400,000",deal fell apart after show
115,3,4,Show No,Yes,Fashion / Beauty,Female,"$75,000",25%,"$300,000",,,1,,,,,,1,"$75,000",
116,3,4,The Swilt,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
117,3,4,Puppy Cake,No,Pet Products,Female,,,,,,,,,,,,0,,
118,3,5,The Last Lid,Yes,Lifestyle / Home,Mixed Team,"$40,000",60%,"$66,667",,,,,1,,,,1,"$40,000",
119,3,5,Talbott Teas,Yes,Food and Beverage,Male,"$250,000",35%,"$714,286",,,,,,1,,,1,"$250,000",Acquired by Jamba Juice
120,3,5,M3 Girl Designs,Yes,Fashion / Beauty,Female,"$300,000",30%,"$1,000,000",,1,1,1,,,,,3,"$100,000",
121,3,5,Ledge Pillow,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
122,3,6,Readerest Specsecure,Yes,Consumer Products,Male,"$150,000",65%,"$230,769",,,1,,,,,,1,"$150,000",
123,3,6,The Painted Pretzel,Yes,Food and Beverage,Female,"$100,000",25%,"$400,000",,1,,,,,,,1,"$100,000",
124,3,6,Esso Watches,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
125,3,6,Five Minute Furniture,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
126,3,7,Kisstixx,Yes,Fashion / Beauty,Male,"$200,000",40%,"$500,000",,1,,,,,,,1,"$200,000",
127,3,7,The Smart Baker,Yes,Food and Beverage,Mixed Team,"$75,000",40%,"$187,500",1,,,,,,,,1,"$75,000",5% royalty until investment paid back
128,3,7,ScotteVest,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
129,3,7,The Heat Helper,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
130,3,8,Litter,Yes,Fashion / Beauty,Female,"$80,000",51%,"$156,863",,1,,,1,,,,2,"$40,000",
131,3,8,Nardo's Natural,Yes,Fashion / Beauty,Male,"$75,000",50%,"$150,000",,,,,,,,,0,#DIV/0!,
132,3,8,The Original Profender,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
133,3,8,Rent-A-Grandma,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
134,3,9,Tower Paddle Boards,Yes,Fitness / Sports,Male,"$150,000",30%,"$500,000",,1,,,,,,,1,"$150,000","plus ""first right of refusal"" on any future inventions"
135,3,9,Miso Media,Yes,Media / Entertainment,Male,"$300,000",8%,"$3,750,000",,1,,,,,,,1,"$300,000",
136,3,9,Instant Lifts,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
137,3,9,Vinamor,No,Food and Beverage,Male,,,,,,,,,,,,0,,
138,3,10,GoGo Gear,Yes,Fitness / Sports,Female,"$300,000",50%,"$600,000",,,,,1,,,,1,"$300,000",
139,3,10,The Ave Venice,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
140,3,10,BrewerΓÇÖs Cow,No,Food and Beverage,Male,,,,,,,,,,,,0,,
141,3,10,BarkΓÇÖemΓÇÖs To Go,No,Pet Products,Male,,,,,,,,,,,,0,,
142,3,11,ViewSport,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
143,3,11,Blondies Cookies,No,Food and Beverage,Female,,,,,,,,,,,,0,,
144,3,11,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,,0,,
145,3,11,The Sullivan Generator,No,Green/CleanTech,Male,,,,,,,,,,,,0,,
146,3,12,Lollacup,Yes,Children / Education,Mixed Team,"$100,000",40%,"$250,000",,1,,1,,,,,2,"$50,000",
147,3,12,Nail Pak,Yes,Fashion / Beauty,Female,"$50,000",40%,"$125,000",,,1,,,,,,1,"$50,000",
148,3,12,Debbie Brooks Handbags,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
149,3,12,Trimi Tank,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
150,3,13,Villy Customs,Yes,Fitness / Sports,Male,"$500,000",42%,"$1,190,476",1,1,,,,,,,2,"$250,000",
151,3,13,Boot Illusions,Yes,Fashion / Beauty,Mixed Team,"$500,000",40%,"$1,250,000",1,1,,,,,,,2,"$250,000",
